system:index,image_count,mean_ndvi,month,year,.geo
103,2,0.528580123,8,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,2,0.546351239,9,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,1,0.42428801,10,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,2,0.337739898,11,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,2,0.421534823,12,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,2,0.582380908,1,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,2,0.665222294,2,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,2,0.479575058,3,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,2,0.228789709,4,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,2,0.240359104,5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,2,0.293924246,6,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,2,0.436025167,7,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,2,0.515953496,8,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,2,0.525190652,9,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,1,0.388808243,10,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,2,0.332590687,11,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,2,0.381699813,12,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,2,0.522156216,1,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,2,0.69644948,2,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,2,0.534472483,3,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,2,0.266751532,4,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,2,0.267449989,5,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,2,0.352714574,6,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,2,0.491495636,7,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,2,0.571584028,8,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,2,0.486307077,9,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,1,0.408096565,10,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,2,0.332239951,11,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,2,0.427273208,12,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,2,0.595001638,1,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,2,0.596261859,2,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,2,0.504666437,3,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,2,0.276677471,4,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,2,0.237259015,5,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,2,0.23793741,6,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,2,0.384692118,7,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,2,0.605030035,8,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,2,0.560084544,9,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,2,0.37736996,10,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,1,0.34242098,11,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,2,0.432831623,12,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,2,0.57128711,1,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,2,0.682976931,2,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,2,0.53929042,3,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,2,0.245824428,4,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,2,0.260056897,5,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,2,0.315808902,6,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,2,0.43111973,7,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,2,0.612055739,8,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,2,0.555420007,9,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,1,0.433823473,10,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,2,0.34445807,11,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,2,0.501546438,12,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,2,0.62883325,1,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,2,0.690551664,2,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,2,0.549680394,3,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,2,0.276354195,4,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,2,0.262169087,5,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,2,0.263473935,6,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,2,0.363981728,7,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,2,0.585051601,8,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,2,0.552942968,9,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,1,0.430647755,10,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,2,0.299533058,11,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,2,0.411891474,12,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,2,0.637095488,1,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,2,0.700896446,2,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,2,0.563647973,3,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,2,0.268952926,4,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,2,0.26786746,5,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,2,0.308184139,6,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,2,0.419409113,7,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,2,0.636234651,8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,2,0.516207349,9,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,1,0.384979567,10,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,2,0.309909714,11,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,2,0.454569505,12,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,2,0.620086768,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,2,0.631048495,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,2,0.452426698,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,2,0.244986046,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,2,0.293303793,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,2,0.361287086,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,2,0.460159381,7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,2,0.637656466,8,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,2,0.527074415,9,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,2,0.355449597,10,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,1,0.334425356,11,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
191,2,0.483727915,12,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
192,2,0.671890153,1,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,2,0.692234948,2,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,2,0.474783563,3,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,2,0.255588963,4,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,2,0.29982869,5,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,2,0.354859252,6,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
198,2,0.421975377,7,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,2,0.643718603,8,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
200,2,0.519107873,9,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
201,1,0.321136428,10,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
202,2,0.306079317,11,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
203,2,0.518602227,12,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
204,2,0.668119984,1,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
205,2,0.678498568,2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
206,2,0.493020833,3,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
207,2,0.252355856,4,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
208,2,0.2732924,5,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
209,2,0.273914647,6,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
210,2,0.346783027,7,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
211,2,0.611518319,8,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
212,2,0.579013699,9,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
213,1,0.381803752,10,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
214,2,0.336434334,11,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
215,2,0.497930063,12,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
216,2,0.654578231,1,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
217,2,0.693684921,2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
218,2,0.57496548,3,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
219,2,0.27586606,4,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
220,2,0.301093091,5,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
221,2,0.299154483,6,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
222,2,0.447983423,7,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
223,2,0.664070112,8,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
224,2,0.570946971,9,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
225,1,0.384698604,10,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
226,2,0.32898717,11,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
227,2,0.504170763,12,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
228,2,0.709454069,1,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
229,2,0.723419566,2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
230,2,0.619950421,3,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
231,2,0.295133282,4,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
232,2,0.305299738,5,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
233,2,0.360815696,6,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
234,2,0.414944137,7,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
235,2,0.634803165,8,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
236,2,0.551010691,9,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
237,2,0.302371027,10,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
238,1,0.357211813,11,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
239,2,0.479984392,12,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
240,2,0.685561417,1,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
241,2,0.682364024,2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
242,2,0.479446917,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
243,2,0.250125777,4,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
244,2,0.356900079,5,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
245,2,0.380553597,6,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
246,2,0.450946994,7,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
247,2,0.544433596,8,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
248,2,0.600375605,9,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
249,1,0.410814337,10,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
250,2,0.345313532,11,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
251,2,0.51377964,12,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
252,2,0.68480546,1,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
253,2,0.682558263,2,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
254,2,0.473948356,3,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
255,2,0.266621497,4,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
256,2,0.356694275,5,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
257,2,0.39298752,6,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
258,2,0.437046977,7,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
259,2,0.621359425,8,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
260,2,0.583926589,9,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
261,1,0.352935548,10,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
262,2,0.323153953,11,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
263,2,0.584387984,12,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
264,2,0.682150368,1,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
265,2,0.703084463,2,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
266,2,0.492218271,3,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
267,2,0.305480992,4,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
268,2,0.376427505,5,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
269,2,0.359261728,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
270,2,0.53071932,7,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
271,2,0.620735548,8,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
272,2,0.520786489,9,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
273,1,0.345966327,10,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
274,2,0.319893543,11,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
275,2,0.578120408,12,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
276,2,0.490531,1,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
277,2,0.693519246,2,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
278,2,0.536277411,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
279,2,0.295205,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
280,2,0.35787725,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
281,2,0.376611987,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
282,2,0.399154877,7,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
283,2,0.673356602,8,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
284,2,0.609038035,9,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
285,2,0.317099416,10,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
286,1,0.352910988,11,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
287,2,0.497825074,12,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
